id_cidade;nm_cidade;uf
892;Abaiara;CE
893;Acarape;CE
894;Acaraú;CE
895;Acopiara;CE
896;Aiuaba;CE
897;Alcântaras;CE
898;Altaneira;CE
899;Alto Santo;CE
900;Amontada;CE
901;Antonina do Norte;CE
902;Apuiarés;CE
903;Aquiraz;CE
904;Aracati;CE
905;Aracoiaba;CE
906;Ararendá;CE
907;Araripe;CE
908;Aratuba;CE
909;Arneiroz;CE
910;Assaré;CE
911;Aurora;CE
912;Baixio;CE
913;Banabuiú;CE
914;Barbalha;CE
915;Barreira;CE
916;Barro;CE
917;Barroquinha;CE
918;Baturité;CE
919;Beberibe;CE
920;Bela Cruz;CE
921;Boa Viagem;CE
922;Brejo Santo;CE
923;Camocim;CE
924;Campos Sales;CE
925;Canindé;CE
926;Capistrano;CE
927;Caridade;CE
928;Cariré;CE
929;Caririaçu;CE
930;Cariús;CE
931;Carnaubal;CE
932;Cascavel;CE
933;Catarina;CE
934;Catunda;CE
935;Caucaia;CE
936;Cedro;CE
937;Chaval;CE
938;Choró;CE
939;Chorozinho;CE
940;Coreaú;CE
941;Crateús;CE
942;Crato;CE
943;Croatá;CE
944;Cruz;CE
945;Deputado Irapuan Pinheiro;CE
946;Ererê;CE
947;Eusébio;CE
948;Farias Brito;CE
949;Forquilha;CE
950;Fortaleza;CE
951;Fortim;CE
952;Frecheirinha;CE
953;General Sampaio;CE
954;Graça;CE
955;Granja;CE
956;Granjeiro;CE
957;Groaíras;CE
958;Guaiúba;CE
959;Guaraciaba do Norte;CE
960;Guaramiranga;CE
961;Hidrolândia;CE
962;Horizonte;CE
963;Ibaretama;CE
964;Ibiapina;CE
965;Ibicuitinga;CE
966;Icapuí;CE
967;Icó;CE
968;Iguatu;CE
969;Independência;CE
970;Ipaporanga;CE
971;Ipaumirim;CE
972;Ipu;CE
973;Ipueiras;CE
974;Iracema;CE
975;Irauçuba;CE
976;Itaiçaba;CE
977;Itaitinga;CE
978;Itapagé;CE
979;Itapipoca;CE
980;Itapiúna;CE
981;Itarema;CE
982;Itatira;CE
983;Jaguaretama;CE
984;Jaguaribara;CE
985;Jaguaribe;CE
986;Jaguaruana;CE
987;Jardim;CE
988;Jati;CE
989;Jijoca de Jericoacoara;CE
990;Juazeiro do Norte;CE
991;Jucás;CE
992;Lavras da Mangabeira;CE
993;Limoeiro do Norte;CE
994;Madalena;CE
995;Maracanaú;CE
996;Maranguape;CE
997;Marco;CE
998;Martinópole;CE
999;Massapê;CE
1000;Mauriti;CE
1001;Meruoca;CE
1002;Milagres;CE
1003;Milhã;CE
1004;Miraíma;CE
1005;Missão Velha;CE
1006;Mombaça;CE
1007;Monsenhor Tabosa;CE
1008;Morada Nova;CE
1009;Moraújo;CE
1010;Morrinhos;CE
1011;Mucambo;CE
1012;Mulungu;CE
1013;Nova Olinda;CE
1014;Nova Russas;CE
1015;Novo Oriente;CE
1016;Ocara;CE
1017;Orós;CE
1018;Pacajus;CE
1019;Pacatuba;CE
1020;Pacoti;CE
1021;Pacujá;CE
1022;Palhano;CE
1023;Palmácia;CE
1024;Paracuru;CE
1025;Paraipaba;CE
1026;Parambu;CE
1027;Paramoti;CE
1028;Pedra Branca;CE
1029;Penaforte;CE
1030;Pentecoste;CE
1031;Pereiro;CE
1032;Pindoretama;CE
1033;Piquet Carneiro;CE
1034;Pires Ferreira;CE
1035;Poranga;CE
1036;Porteiras;CE
1037;Potengi;CE
1038;Potiretama;CE
1039;Quiterianópolis;CE
1040;Quixadá;CE
1041;Quixelô;CE
1042;Quixeramobim;CE
1043;Quixeré;CE
1044;Redenção;CE
1045;Reriutaba;CE
1046;Russas;CE
1047;Saboeiro;CE
1048;Salitre;CE
1049;Santana do Acaraú;CE
1050;Santana do Cariri;CE
1051;Santa Quitéria;CE
1052;São Benedito;CE
1053;São Gonçalo do Amarante;CE
1054;São João do Jaguaribe;CE
1055;São Luís do Curu;CE
1056;Senador Pompeu;CE
1057;Senador Sá;CE
1058;Sobral;CE
1059;Solonópole;CE
1060;Tabuleiro do Norte;CE
1061;Tamboril;CE
1062;Tarrafas;CE
1063;Tauá;CE
1064;Tejuçuoca;CE
1065;Tianguá;CE
1066;Trairi;CE
1067;Tururu;CE
1068;Ubajara;CE
1069;Umari;CE
1070;Umirim;CE
1071;Uruburetama;CE
1072;Uruoca;CE
1073;Varjota;CE
1074;Várzea Alegre;CE
1075;Viçosa do Ceará;CE
