id_cidade;nm_cidade;uf
1651;Água Branca;AL
1652;Anadia;AL
1653;Arapiraca;AL
1654;Atalaia;AL
1655;Barra de Santo Antônio;AL
1656;Barra de São Miguel;AL
1657;Batalha;AL
1658;Belém;AL
1659;Belo Monte;AL
1660;Boca da Mata;AL
1661;Branquinha;AL
1662;Cacimbinhas;AL
1663;Cajueiro;AL
1664;Campestre;AL
1665;Campo Alegre;AL
1666;Campo Grande;AL
1667;Canapi;AL
1668;Capela;AL
1669;Carneiros;AL
1670;Chã Preta;AL
1671;Coité do Nóia;AL
1672;Colônia Leopoldina;AL
1673;Coqueiro Seco;AL
1674;Coruripe;AL
1675;Craíbas;AL
1676;Delmiro Gouveia;AL
1677;Dois Riachos;AL
1678;Estrela de Alagoas;AL
1679;Feira Grande;AL
1680;Feliz Deserto;AL
1681;Flexeiras;AL
1682;Girau do Ponciano;AL
1683;Ibateguara;AL
1684;Igaci;AL
1685;Igreja Nova;AL
1686;Inhapi;AL
1687;Jacaré dos Homens;AL
1688;Jacuípe;AL
1689;Japaratinga;AL
1690;Jaramataia;AL
1691;Jequiá da Praia;AL
1692;Joaquim Gomes;AL
1693;Jundiá;AL
1694;Junqueiro;AL
1695;Lagoa da Canoa;AL
1696;Limoeiro de Anadia;AL
1697;Maceió;AL
1698;Major Isidoro;AL
1699;Maragogi;AL
1700;Maravilha;AL
1701;Marechal Deodoro;AL
1702;Maribondo;AL
1703;Mar Vermelho;AL
1704;Mata Grande;AL
1705;Matriz de Camaragibe;AL
1706;Messias;AL
1707;Minador do Negrão;AL
1708;Monteirópolis;AL
1709;Murici;AL
1710;Novo Lino;AL
1711;Olho D'Água das Flores;AL
1712;Olho D'Água do Casado;AL
1713;Olho D'Água Grande;AL
1714;Olivença;AL
1715;Ouro Branco;AL
1716;Palestina;AL
1717;Palmeira dos Índios;AL
1718;Pão de Açúcar;AL
1719;Pariconha;AL
1720;Paripueira;AL
1721;Passo de Camaragibe;AL
1722;Paulo Jacinto;AL
1723;Penedo;AL
1724;Piaçabuçu;AL
1725;Pilar;AL
1726;Pindoba;AL
1727;Piranhas;AL
1728;Poço das Trincheiras;AL
1729;Porto Calvo;AL
1730;Porto de Pedras;AL
1731;Porto Real do Colégio;AL
1732;Quebrangulo;AL
1733;Rio Largo;AL
1734;Roteiro;AL
1735;Santa Luzia do Norte;AL
1736;Santana do Ipanema;AL
1737;Santana do Mundaú;AL
1738;São Brás;AL
1739;São José da Laje;AL
1740;São José da Tapera;AL
1741;São Luís do Quitunde;AL
1742;São Miguel dos Campos;AL
1743;São Miguel dos Milagres;AL
1744;São Sebastião;AL
1745;Satuba;AL
1746;Senador Rui Palmeira;AL
1747;Tanque D'Arca;AL
1748;Taquarana;AL
1749;Teotônio Vilela;AL
1750;Traipu;AL
1751;União dos Palmares;AL
1752;Viçosa;AL
