id_cidade;nm_cidade;uf
152;Abaetetuba;PA
153;Abel Figueiredo;PA
154;Acará;PA
155;Afuá;PA
156;Água Azul do Norte;PA
157;Alenquer;PA
158;Almeirim;PA
159;Altamira;PA
160;Anajás;PA
161;Ananindeua;PA
162;Anapu;PA
163;Augusto Corrêa;PA
164;Aurora do Pará;PA
165;Aveiro;PA
166;Bagre;PA
167;Baião;PA
168;Bannach;PA
169;Barcarena;PA
170;Belém;PA
171;Belterra;PA
172;Benevides;PA
173;Bom Jesus do Tocantins;PA
174;Bonito;PA
175;Bragança;PA
176;Brasil Novo;PA
177;Brejo Grande do Araguaia;PA
178;Breu Branco;PA
179;Breves;PA
180;Bujaru;PA
181;Cachoeira do Piriá;PA
182;Cachoeira do Arari;PA
183;Cametá;PA
184;Canaã dos Carajás;PA
185;Capanema;PA
186;Capitão Poço;PA
187;Castanhal;PA
188;Chaves;PA
189;Colares;PA
190;Conceição do Araguaia;PA
191;Concórdia do Pará;PA
192;Cumaru do Norte;PA
193;Curionópolis;PA
194;Curralinho;PA
195;Curuá;PA
196;Curuçá;PA
197;Dom Eliseu;PA
198;Eldorado dos Carajás;PA
199;Faro;PA
200;Floresta do Araguaia;PA
201;Garrafão do Norte;PA
202;Goianésia do Pará;PA
203;Gurupá;PA
204;Igarapé-Açu;PA
205;Igarapé-Miri;PA
206;Inhangapi;PA
207;Ipixuna do Pará;PA
208;Irituia;PA
209;Itaituba;PA
210;Itupiranga;PA
211;Jacareacanga;PA
212;Jacundá;PA
213;Juruti;PA
214;Limoeiro do Ajuru;PA
215;Mãe do Rio;PA
216;Magalhães Barata;PA
217;Marabá;PA
218;Maracanã;PA
219;Marapanim;PA
220;Marituba;PA
221;Medicilândia;PA
222;Melgaço;PA
223;Mocajuba;PA
224;Moju;PA
225;Mojuí dos Campos;PA
226;Monte Alegre;PA
227;Muaná;PA
228;Nova Esperança do Piriá;PA
229;Nova Ipixuna;PA
230;Nova Timboteua;PA
231;Novo Progresso;PA
232;Novo Repartimento;PA
233;Óbidos;PA
234;Oeiras do Pará;PA
235;Oriximiná;PA
236;Ourém;PA
237;Ourilândia do Norte;PA
238;Pacajá;PA
239;Palestina do Pará;PA
240;Paragominas;PA
241;Parauapebas;PA
242;Pau D'Arco;PA
243;Peixe-Boi;PA
244;Piçarra;PA
245;Placas;PA
246;Ponta de Pedras;PA
247;Portel;PA
248;Porto de Moz;PA
249;Prainha;PA
250;Primavera;PA
251;Quatipuru;PA
252;Redenção;PA
253;Rio Maria;PA
254;Rondon do Pará;PA
255;Rurópolis;PA
256;Salinópolis;PA
257;Salvaterra;PA
258;Santa Bárbara do Pará;PA
259;Santa Cruz do Arari;PA
260;Santa Isabel do Pará;PA
261;Santa Luzia do Pará;PA
262;Santa Maria das Barreiras;PA
263;Santa Maria do Pará;PA
264;Santana do Araguaia;PA
265;Santarém;PA
266;Santarém Novo;PA
267;Santo Antônio do Tauá;PA
268;São Caetano de Odivelas;PA
269;São Domingos do Araguaia;PA
270;São Domingos do Capim;PA
271;São Félix do Xingu;PA
272;São Francisco do Pará;PA
273;São Geraldo do Araguaia;PA
274;São João da Ponta;PA
275;São João de Pirabas;PA
276;São João do Araguaia;PA
277;São Miguel do Guamá;PA
278;São Sebastião da Boa Vista;PA
279;Sapucaia;PA
280;Senador José Porfírio;PA
281;Soure;PA
282;Tailândia;PA
283;Terra Alta;PA
284;Terra Santa;PA
285;Tomé-Açu;PA
286;Tracuateua;PA
287;Trairão;PA
288;Tucumã;PA
289;Tucuruí;PA
290;Ulianópolis;PA
291;Uruará;PA
292;Vigia;PA
293;Viseu;PA
294;Vitória do Xingu;PA
295;Xinguara;PA
